font,codepoint,stroke,confidence,apex_score,tail_source,rare_orientation,off_ink_tail
Assurbanipal,0x1201b,1,0.6918,0.8457,network,0,0
Assurbanipal,0x1201b,2,0.5366,0.7701,skeleton,0,0
Assurbanipal,0x1201b,3,0.6406,0.6406,network,0,0
Assurbanipal,0x1201b,4,0.4161,0.8436,network,0,0
Assurbanipal,0x1201b,5,0.4161,0.9482,network,0,0
Assurbanipal,0x1201b,6,0.4161,0.9612,network,0,0
Assurbanipal,0x1201b,7,0.8069,0.8907,network,0,0
Assurbanipal,0x1201b,8,0.3723,0.8454,skeleton,0,0
Assurbanipal,0x1201b,9,0.7889,0.886,network,0,0
Assurbanipal,0x1201b,10,0.409,0.8693,skeleton,0,0
Assurbanipal,0x1201b,11,0.7458,0.9508,network,0,0
Assurbanipal,0x1201b,12,0.0009,0.9397,skeleton,0,0
Assurbanipal,0x1201b,13,0.6206,0.8462,network,0,0
Assurbanipal,0x1201e,1,0.6615,0.7078,network,0,0
Assurbanipal,0x1201e,2,0.7383,0.7763,skeleton,0,0
Assurbanipal,0x1201e,3,0.5856,0.5856,skeleton,0,0
Assurbanipal,0x1201e,4,0.5151,0.7902,network,0,0
Assurbanipal,0x1201e,5,0.6086,0.7221,skeleton,0,0
Assurbanipal,0x1201e,6,0.0249,0.9222,network,0,0
Assurbanipal,0x1201e,7,0.0904,0.9096,network,0,0
Assurbanipal,0x1201e,8,0.8582,0.8779,network,0,0
Assurbanipal,0x1201e,9,0.6964,0.8421,network,0,0
Assurbanipal,0x1201e,10,0.7813,0.8771,network,0,0
Assurbanipal,0x1201e,11,0.7687,0.847,network,0,0
Assurbanipal,0x1201f,1,0.6706,0.7299,network,0,0
Assurbanipal,0x1201f,2,0.719,0.8173,skeleton,0,0
Assurbanipal,0x1201f,3,0.6615,0.8155,skeleton,0,0
Assurbanipal,0x1201f,4,0.6487,0.8787,network,0,0
Assurbanipal,0x1201f,5,0.7276,0.819,skeleton,0,0
Assurbanipal,0x1201f,6,0.4941,0.7465,skeleton,0,0
Assurbanipal,0x1201f,7,0.7853,0.8941,network,0,0
Assurbanipal,0x1201f,8,0.7082,0.8783,network,0,0
Assurbanipal,0x1201f,9,0.7807,0.7912,network,0,0
Assurbanipal,0x1201f,10,0.6706,0.7656,network,0,0
Assurbanipal,0x1201f,11,0.2888,0.8568,skeleton,0,0
Assurbanipal,0x1201f,12,0.0344,0.9099,network,0,0
Assurbanipal,0x1201f,13,0.6567,0.6658,skeleton,0,0
Assurbanipal,0x1201f,14,0.7759,0.8592,network,0,0
Assurbanipal,0x12021,1,0.6388,0.7158,network,0,0
Assurbanipal,0x12021,2,0.6388,0.7863,network,0,0
Assurbanipal,0x12021,3,0.5438,0.7502,skeleton,0,0
Assurbanipal,0x12021,4,0.6667,0.7763,skeleton,0,0
Assurbanipal,0x12021,5,0.6964,0.8331,network,0,0
Assurbanipal,0x12021,6,0.739,0.8392,network,0,0
Assurbanipal,0x12021,7,0.5181,0.8981,network,0,0
Assurbanipal,0x12021,8,0.6156,0.777,skeleton,0,0
Assurbanipal,0x12021,9,0.7074,0.795,network,0,0
Assurbanipal,0x12021,10,0.499,0.8706,network,0,0
Assurbanipal,0x12021,11,0.8395,0.8688,network,0,0
Assurbanipal,0x12021,12,0.7549,0.7549,network,0,0
Assurbanipal,0x12022,1,0.6142,0.6809,network,0,0
Assurbanipal,0x12022,2,0.6142,0.7691,network,0,0
Assurbanipal,0x12022,3,0.008,0.7102,network,0,0
Assurbanipal,0x12022,4,0.6984,0.7941,skeleton,0,0
Assurbanipal,0x12022,5,0.5856,0.88,network,0,0
Assurbanipal,0x12022,6,0.0274,0.88,network,0,0
Assurbanipal,0x12022,7,0.5535,0.9536,network,0,0
Assurbanipal,0x12022,8,0.2627,0.8808,network,0,0
Assurbanipal,0x12022,9,0.061,0.8648,network,0,0
Assurbanipal,0x12022,10,0.0562,0.6058,network,0,0
Assurbanipal,0x12022,11,0.4359,0.7394,network,0,0
Assurbanipal,0x12022,12,0.6766,0.8771,network,0,0
Assurbanipal,0x12022,13,0.7368,0.8507,network,0,0
Assurbanipal,0x12023,1,0.6266,0.7225,network,0,0
Assurbanipal,0x12023,2,0.6266,0.7899,network,0,0
Assurbanipal,0x12023,3,0.0015,0.6325,network,0,0
Assurbanipal,0x12023,4,0.6766,0.8228,skeleton,0,0
Assurbanipal,0x12023,5,0.6792,0.8349,network,0,0
Assurbanipal,0x12023,6,0.677,0.7937,network,0,0
Assurbanipal,0x12023,7,0.6943,0.8205,network,0,0
Assurbanipal,0x12023,8,0.6855,0.8001,network,0,0
Assurbanipal,0x12023,9,0.05,0.8408,skeleton,1,1
Assurbanipal,0x12024,1,0.6352,0.7029,network,0,0
Assurbanipal,0x12024,2,0.6352,0.6984,network,0,0
Assurbanipal,0x12024,3,0.5424,0.5713,network,0,0
Assurbanipal,0x12024,4,0.6234,0.7853,skeleton,0,0
Assurbanipal,0x12024,5,0.688,0.8062,network,0,0
Assurbanipal,0x12024,6,0.5808,0.9173,network,0,0
Assurbanipal,0x12024,7,0.6758,0.8852,network,0,0
Assurbanipal,0x12024,8,0.5063,0.9009,network,0,0
Assurbanipal,0x12024,9,0.7698,0.9529,skeleton,0,0
Assurbanipal,0x12024,10,0.8661,0.907,network,0,0
Assurbanipal,0x12024,11,0.7264,0.7428,network,0,0
Assurbanipal,0x12026,1,0.6091,0.658,network,0,0
Assurbanipal,0x12026,2,0.5049,0.8053,network,0,0
Assurbanipal,0x12026,3,0.0072,0.7896,network,0,0
Assurbanipal,0x12026,4,0.5983,0.7596,skeleton,0,0
Assurbanipal,0x12026,5,0.5718,0.8007,network,0,0
Assurbanipal,0x12026,6,0.671,0.8542,network,0,0
Assurbanipal,0x12026,7,0.632,0.8093,skeleton,0,0
Assurbanipal,0x12026,8,0.0096,0.4453,skeleton,0,0
Assurbanipal,0x12026,9,0.7988,0.8643,network,0,0
Assurbanipal,0x12026,10,0.7142,0.7142,network,0,0
Assurbanipal,0x12026,11,0.6589,0.8648,skeleton,0,0
Assurbanipal,0x12026,12,0.0071,0.8429,network,0,0
Assurbanipal,0x12026,13,0.7614,0.83,network,0,0
Assurbanipal,0x12027,1,0.6165,0.6702,network,0,0
Assurbanipal,0x12027,2,0.6165,0.7892,network,0,0
Assurbanipal,0x12027,3,0.0161,0.7564,network,0,0
Assurbanipal,0x12027,4,0.6562,0.8344,network,0,0
Assurbanipal,0x12027,5,0.7763,0.7843,network,0,0
Assurbanipal,0x12027,6,0.16,0.8984,network,0,0
Assurbanipal,0x12027,7,0.539,0.8245,network,0,0
Assurbanipal,0x12027,8,0.8679,0.8679,network,0,0
Assurbanipal,0x12027,9,0.3244,0.8418,network,0,0
Assurbanipal,0x12027,10,0.7454,0.7454,network,0,0
Assurbanipal,0x12028,1,0.6334,0.6972,network,0,0
Assurbanipal,0x12028,2,0.6334,0.7476,network,0,0
Assurbanipal,0x12028,3,0.013,0.7553,network,0,0
Assurbanipal,0x12028,4,0.5865,0.858,skeleton,0,0
Assurbanipal,0x12028,5,0.5404,0.827,network,0,0
Assurbanipal,0x12028,6,0.6456,0.9322,network,0,0
Assurbanipal,0x12028,7,0.0,0.8868,network,0,0
Assurbanipal,0x12028,8,0.8004,0.8959,network,0,0
Assurbanipal,0x12028,9,0.8295,0.9112,network,0,0
Assurbanipal,0x12028,10,0.0001,0.3675,network,0,0
Assurbanipal,0x12028,11,0.6813,0.8736,network,0,0
Assurbanipal,0x12028,12,0.7379,0.795,network,0,0
Assurbanipal,0x12029,1,0.05,0.8754,network,0,1
Assurbanipal,0x12029,2,0.7931,0.8613,network,0,0
Assurbanipal,0x12029,3,0.6571,0.7902,network,0,0
Assurbanipal,0x12029,4,0.7094,0.8899,network,0,0
Assurbanipal,0x12029,5,0.0682,0.9093,network,0,0
Assurbanipal,0x12029,6,0.429,0.9386,skeleton,0,0
Assurbanipal,0x12029,7,0.6311,0.7383,network,0,0
Assurbanipal,0x12029,8,0.5955,0.7318,network,0,0
Assurbanipal,0x12029,9,0.5823,0.7937,network,0,0
Assurbanipal,0x12029,10,0.7318,0.8941,network,0,0
Assurbanipal,0x12029,11,0.3355,0.7553,network,0,0
Assurbanipal,0x12029,12,0.3109,0.6901,network,0,0
Assurbanipal,0x12029,13,0.6527,0.801,skeleton,0,0
Assurbanipal,0x12029,14,0.441,0.7443,network,0,0
Assurbanipal,0x12029,15,0.6442,0.8309,skeleton,0,0
Assurbanipal,0x12029,16,0.7472,0.8253,network,0,0
Assurbanipal,0x12029,17,0.6007,0.8487,network,0,0
Assurbanipal,0x12029,18,0.7025,0.8431,network,0,0
Assurbanipal,0x12029,19,0.7823,0.785,network,0,0
Assurbanipal,0x12029,20,0.0316,0.8599,network,0,0
Assurbanipal,0x12029,21,0.5931,0.7249,network,0,0
Assurbanipal,0x1202c,1,0.6667,0.8551,network,0,0
Assurbanipal,0x1202c,2,0.4494,0.7652,network,0,0
Assurbanipal,0x1202c,3,0.3368,0.8856,network,0,0
Assurbanipal,0x1202c,4,0.4863,0.8652,network,0,0
Assurbanipal,0x1202c,5,0.3625,0.8944,network,0,0
Assurbanipal,0x1202c,6,0.4868,0.7966,network,0,0
Assurbanipal,0x1202c,7,0.5846,0.8161,network,0,0
Assurbanipal,0x1202c,8,0.1797,0.4751,network,0,0
Assurbanipal,0x1202f,1,0.7394,0.8914,network,0,0
Assurbanipal,0x1202f,2,0.7773,0.8929,network,0,0
Assurbanipal,0x1202f,3,0.7287,0.8403,network,0,0
Assurbanipal,0x1202f,4,0.7617,0.8199,network,0,0
Assurbanipal,0x1202f,5,0.782,0.8347,network,0,0
Assurbanipal,0x1202f,6,0.4297,0.8376,network,0,0
Assurbanipal,0x1202f,7,0.7033,0.9115,network,0,0
Assurbanipal,0x1202f,8,0.5898,0.907,network,0,0
Assurbanipal,0x1202f,9,0.7398,0.8093,network,0,0
Assurbanipal,0x12035,1,0.7158,0.7866,skeleton,0,0
Assurbanipal,0x12035,2,0.6275,0.717,skeleton,0,0
Assurbanipal,0x12035,3,0.596,0.8143,network,0,0
Assurbanipal,0x12035,4,0.5593,0.9252,network,0,0
Assurbanipal,0x12035,5,0.6575,0.825,network,0,0
Assurbanipal,0x12035,6,0.0403,0.9363,network,0,0
Assurbanipal,0x12035,7,0.5689,0.8779,network,0,0
Assurbanipal,0x12035,8,0.0317,0.7498,network,0,0
Assurbanipal,0x12039,1,0.633,0.6702,network,0,0
Assurbanipal,0x1203a,1,0.6632,0.897,network,0,0
Assurbanipal,0x1203c,1,0.6451,0.8459,network,0,0
Assurbanipal,0x1203c,2,0.6719,0.7776,network,0,0
Assurbanipal,0x1203c,3,0.4937,0.7866,network,0,0
Assurbanipal,0x1203d,1,0.0771,0.8779,skeleton,0,0
Assurbanipal,0x1203d,2,0.6252,0.7592,skeleton,0,0
Assurbanipal,0x1203d,3,0.0014,0.9414,skeleton,0,0
Assurbanipal,0x1203d,4,0.7142,0.9053,skeleton,0,0
Assurbanipal,0x1203d,5,0.7873,0.7966,skeleton,0,0
Assurbanipal,0x1203d,6,0.4751,0.6146,skeleton,0,0
Assurbanipal,0x1203d,7,0.0002,0.6693,skeleton,0,0
Assurbanipal,0x1203f,1,0.711,0.8341,skeleton,0,0
Assurbanipal,0x1203f,2,0.711,0.8213,skeleton,0,0
Assurbanipal,0x1203f,3,0.0256,0.8374,network,0,0
Assurbanipal,0x1203f,4,0.8333,0.9167,network,0,0
Assurbanipal,0x1203f,5,0.8421,0.9093,network,0,0
Assurbanipal,0x1203f,6,0.0386,0.9252,network,0,0
Assurbanipal,0x12041,1,0.3979,0.6562,network,0,0
Assurbanipal,0x12046,1,0.4422,0.8546,skeleton,0,0
Assurbanipal,0x12046,2,0.7042,0.847,skeleton,0,0
Assurbanipal,0x12046,3,0.5132,0.8542,skeleton,0,0
Assurbanipal,0x12046,4,0.6105,0.7722,skeleton,0,0
Assurbanipal,0x12046,5,0.0404,0.5511,network,1,0
Assurbanipal,0x12046,6,0.0119,0.4407,network,0,0
Assurbanipal,0x12046,7,0.0763,0.7823,skeleton,0,0
Assurbanipal,0x12046,8,0.414,0.8347,skeleton,0,0
Assurbanipal,0x12046,9,0.0355,0.8102,skeleton,0,0
Assurbanipal,0x12046,10,0.434,0.7972,skeleton,0,0
Assurbanipal,0x12046,11,0.6261,0.7033,network,0,0
Assurbanipal,0x12046,12,0.4878,0.7454,skeleton,0,0
Assurbanipal,0x12046,13,0.0,0.5765,network,1,0
Assurbanipal,0x12046,14,0.6753,0.7934,network,0,0
Assurbanipal,0x12048,1,0.7417,0.787,network,0,0
Assurbanipal,0x12048,2,0.6584,0.7846,network,0,0
Assurbanipal,0x12048,3,0.4309,0.7476,network,0,0
Assurbanipal,0x12048,4,0.4309,0.8245,skeleton,0,0
Assurbanipal,0x12048,5,0.4342,0.8592,network,0,0
Assurbanipal,0x12048,6,0.6067,0.8998,network,0,0
Assurbanipal,0x12048,7,0.3741,0.7596,skeleton,0,0
Assurbanipal,0x12048,8,0.6697,0.852,network,0,0
Assurbanipal,0x12048,9,0.6357,0.8062,network,0,0
Assurbanipal,0x1204b,1,0.4244,0.8149,skeleton,0,0
Assurbanipal,0x1204b,2,0.6728,0.6817,skeleton,0,0
Assurbanipal,0x1204b,3,0.7843,0.939,network,0,0
Assurbanipal,0x1204b,4,0.3193,0.9397,network,0,0
Assurbanipal,0x1204b,5,0.7817,0.9598,network,0,0
Assurbanipal,0x1204b,6,0.7447,0.9592,network,0,0
Assurbanipal,0x1204b,7,0.0016,0.3191,network,1,0
Assurbanipal,0x1204c,1,0.0108,0.8625,network,0,0
Assurbanipal,0x1204c,2,0.3861,0.8161,skeleton,0,0
Assurbanipal,0x1204c,3,0.0007,0.742,network,0,0
Assurbanipal,0x1204c,4,0.603,0.932,network,0,0
Assurbanipal,0x1204c,5,0.8549,0.9019,network,0,0
Assurbanipal,0x1204c,6,0.0488,0.9005,network,0,0
Assurbanipal,0x1204c,7,0.0393,0.8485,network,0,0
Assurbanipal,0x1204c,8,0.3028,0.6562,network,0,0
Assurbanipal,0x1204c,9,0.7106,0.8933,skeleton,0,0
Assurbanipal,0x1204c,10,0.0019,0.3511,network,1,0
Assurbanipal,0x1204e,1,0.6183,0.8599,network,0,0
Assurbanipal,0x1204e,2,0.3944,0.9161,network,0,0
Assurbanipal,0x1204e,3,0.6922,0.862,network,0,0
Assurbanipal,0x1204e,4,0.5554,0.7001,network,0,0
Assurbanipal,0x1204e,5,0.4698,0.7491,network,0,0
