font,codepoint,origin,codepoint_split,date
Esagil,0x1228a,accepted_as_generated,train (new codepoint),2026-09-19
Esagil,0x1228d,corrected_by_hand,train,2026-09-19
Esagil,0x12291,accepted_as_generated,val,2026-09-19
Esagil,0x122af,corrected_by_hand,train (new codepoint),2026-09-19
Esagil,0x122cb,accepted_as_generated,val,2026-09-19
Esagil,0x122d4,accepted_as_generated,train (new codepoint),2026-09-19
Esagil,0x122e6,corrected_by_hand,train (new codepoint),2026-09-19
Esagil,0x122ed,accepted_as_generated,train,2026-09-19
Esagil,0x12314,accepted_as_generated,train,2026-09-19
Esagil,0x12324,corrected_by_hand,train,2026-09-19
